ID,Year_Birth,Income,Dt_Customer,Recency,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,Numbers of sons,Total_Spent,Total_Purchases,Marital_Status_Alone,Marital_Status_Partner,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Clusters
5524,1957,58138,2012-04-09,58,7,0,0,0,0,0,0,3,11,1,67,0,1617,25,1,0,0,1,0,0,0
2174,1954,46344,2014-08-03,38,5,0,0,0,0,0,0,3,11,0,70,2,27,6,1,0,0,1,0,0,3
4141,1965,71613,2013-07-02,26,4,0,0,0,0,0,0,3,11,0,59,0,776,21,0,1,0,1,0,0,4
6182,1984,26646,2014-10-02,26,6,0,0,0,0,0,0,3,11,0,40,1,53,8,0,1,0,1,0,0,1
5324,1981,58293,2013-07-02,94,5,0,0,0,0,0,0,3,11,0,43,1,422,19,0,1,0,0,0,1,2
7446,1967,62513,2013-09-09,16,6,0,0,0,0,0,0,3,11,0,57,1,716,22,0,1,0,0,1,0,2
965,1971,55635,2013-07-02,34,6,0,0,0,0,0,0,3,11,0,53,1,590,21,1,0,0,1,0,0,0
6177,1985,33454,2013-08-05,32,8,0,0,0,0,0,0,3,11,0,39,1,169,10,0,1,0,0,0,1,1
4855,1974,30351,2013-06-06,19,9,0,0,0,0,0,0,3,11,1,50,1,46,6,0,1,0,0,0,1,1
5899,1950,5648,2013-07-02,68,20,1,0,0,0,0,0,3,11,0,74,2,49,2,0,1,0,0,0,1,1
387,1976,7500,2013-07-02,59,8,0,0,0,0,0,0,3,11,0,48,0,61,6,0,1,1,0,0,0,1
2125,1959,63033,2013-07-02,82,2,0,0,0,0,0,0,3,11,0,65,0,1102,16,1,0,0,1,0,0,0
8180,1952,59354,2013-07-02,53,6,0,0,0,0,0,0,3,11,0,72,2,310,15,1,0,0,0,1,0,0
2569,1987,17323,2012-10-10,38,8,0,0,0,0,0,0,3,11,0,37,0,46,5,0,1,0,1,0,0,1
2114,1946,82800,2013-07-02,23,3,0,0,1,1,0,0,3,11,1,78,0,1315,26,1,0,0,0,0,1,0
9736,1980,41850,2013-07-02,51,8,0,0,0,0,0,0,3,11,0,44,2,96,9,0,1,0,1,0,0,1
4939,1946,37760,2013-07-02,20,7,0,0,0,0,0,0,3,11,0,78,0,317,13,0,1,0,1,0,0,4
6565,1949,76995,2013-07-02,91,5,0,0,0,1,0,0,3,11,0,75,1,1782,26,0,1,0,0,1,0,2
2278,1985,33812,2012-03-11,86,6,0,0,0,0,0,0,3,11,0,39,1,133,8,1,0,0,0,0,0,3
9360,1982,37040,2012-08-08,41,8,0,0,0,0,0,0,3,11,0,42,0,316,12,0,1,0,1,0,0,1
5376,1979,2447,2013-06-01,42,1,0,0,0,0,0,0,3,11,0,45,1,1730,43,0,1,0,1,0,0,4
1993,1949,58607,2013-07-02,63,8,0,1,0,0,0,0,3,11,0,75,1,972,17,0,1,0,0,0,1,2
4047,1954,65324,2014-11-01,0,4,0,0,0,0,0,0,3,11,0,70,1,544,20,0,1,0,0,0,1,2
1409,1951,40689,2013-07-02,69,8,0,0,0,0,0,0,3,11,0,73,1,444,20,0,1,0,1,0,0,4
7892,1969,18589,2013-02-01,89,7,0,0,0,0,0,0,3,11,0,55,0,75,8,1,0,0,1,0,0,3
2404,1976,53359,2013-07-02,4,7,0,0,0,0,0,0,3,11,0,48,2,257,14,0,1,0,1,0,0,1
9422,1989,38360,2013-07-02,26,3,0,0,0,0,0,0,3,11,0,35,1,131,9,0,1,0,1,0,0,1
1966,1965,84618,2013-07-02,96,2,0,0,1,0,0,0,3,11,0,59,0,1672,26,0,1,0,0,0,1,2
